Instance,N,M,ObjVal(GB),ObjVal(CGSP),ObjVal(CGMP),ObjVal(CGMPSub),nCols(GB),nCols(CGSP),nCols(CGMP),nCols(CGMPSub),K(CGSP),K(CGMP),K(CGMPSub),Time(GB),Time(CGSP),Time(CGMP),Time(CGMPSub),Gap(GB-CGSP),Gap(GB-CGMP),Gap(GB-CGMPSub)
1,2,2,0.0,0.0,0.0,0.0,6,4,10,4,4,2,2,0.0009999275207519531,0.042852163314819336,0.04175233840942383,0.056517601013183594,0.0,0.0,0.0
2,2,3,9.999999999987796e-05,9.999999999998899e-05,9.999999999998899e-05,9.999999999998899e-05,6,5,5,5,5,1,1,0.0009999275207519531,0.04864215850830078,0.022150278091430664,0.03646230697631836,-1.1102230246251565e-16,-1.1102230246251565e-16,-1.1102230246251565e-16
3,2,4,0.014600000000000002,0.014600000000000002,0.014600000000000002,0.014600000000000002,6,5,10,5,5,2,2,0.002000093460083008,0.057543039321899414,0.03781747817993164,0.06528806686401367,0.0,0.0,0.0
4,3,2,0.0001000000000000445,0.00010000000000010001,0.00010000000000010001,0.00010000000000010001,24,5,10,5,5,2,2,0.0,0.07591104507446289,0.05865931510925293,0.07922863960266113,-5.551115123125783e-17,-5.551115123125783e-17,-5.551115123125783e-17
5,3,3,0.0001000000000000445,0.0001000000000000445,0.0001000000000000445,0.0001000000000000445,24,6,10,6,6,2,2,0.0010001659393310547,0.2494220733642578,0.08658838272094727,0.08420777320861816,0.0,0.0,0.0
6,3,4,0.014399999999999996,0.014399999999999996,0.014399999999999996,0.014399999999999996,24,6,15,6,6,3,3,0.0009999275207519531,0.11167335510253906,0.09140968322753906,0.1164865493774414,0.0,0.0,0.0
7,3,5,0.012899999999999995,0.01290000000000005,0.01290000000000005,0.01290000000000005,24,6,15,7,6,3,3,0.0010001659393310547,0.09407281875610352,0.09744977951049805,0.12189912796020508,-5.551115123125783e-17,-5.551115123125783e-17,-5.551115123125783e-17
8,3,10,0.052400000000000085,0.052399999999999974,0.052399999999999974,0.052399999999999974,24,13,20,14,13,4,5,0.0019998550415039062,0.4270782470703125,0.17201614379882812,0.6628179550170898,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16
9,3,15,0.15309999999999996,0.15309999999999996,0.15309999999999985,0.15309999999999985,24,13,20,12,13,4,4,0.003000020980834961,0.3198680877685547,0.18057823181152344,0.1887218952178955,0.0,1.1102230246251565e-16,1.1102230246251565e-16
10,4,2,0.00010000000000001674,0.0001000000000000445,0.00010000000000010001,0.00010000000000010001,120,6,5,5,6,1,1,0.0009999275207519531,0.08968091011047363,0.04025912284851074,0.2040421962738037,-2.7755575615628914e-17,-8.326672684688674e-17,-8.326672684688674e-17
11,4,3,0.00019999999999997797,0.00019999999999997797,0.00019999999999997797,0.00019999999999997797,120,9,15,9,9,3,3,0.0009999275207519531,0.1316547393798828,0.062255859375,0.09699201583862305,0.0,0.0,0.0
12,4,4,0.00019999999999997797,0.00019999999999997797,0.00020000000000000573,0.099,120,11,25,10,11,5,6,0.002000093460083008,0.16515874862670898,0.11669206619262695,0.21932339668273926,0.0,-2.7755575615628914e-17,-0.09880000000000003
13,4,5,0.00020000000000000573,0.00019999999999992246,0.00019999999999992246,0.00019999999999992246,120,14,30,14,14,6,6,0.0,0.22646284103393555,0.16355061531066895,0.18712067604064941,8.326672684688674e-17,8.326672684688674e-17,8.326672684688674e-17
14,4,10,0.057499999999999996,0.05749999999999997,0.05750000000000005,0.2842999999999998,120,21,40,14,21,8,7,0.0019998550415039062,0.5124735832214355,0.31470465660095215,0.3065145015716553,2.7755575615628914e-17,-5.551115123125783e-17,-0.22679999999999978
15,4,15,0.07929999999999987,0.07929999999999982,0.07929999999999979,0.07929999999999998,120,22,30,21,22,6,7,0.0,0.8872535228729248,0.3045322895050049,0.5224361419677734,5.551115123125783e-17,8.326672684688674e-17,-1.1102230246251565e-16
16,4,20,0.13920000000000013,0.13920000000000005,0.13870000000000016,0.13919999999999996,120,25,55,30,25,11,14,0.003000020980834961,1.237654447555542,0.6517899036407471,1.439380168914795,8.326672684688674e-17,0.0004999999999999727,1.6653345369377348e-16
17,4,25,0.1969000000000002,0.19690000000000007,0.19690000000000016,0.19690000000000002,120,28,60,30,28,12,14,0.003999948501586914,1.788083791732788,1.3582913875579834,2.157362222671509,1.3877787807814457e-16,5.551115123125783e-17,1.942890293094024e-16
18,5,2,0.00010000000000001674,0.0001000000000000445,0.00010000000000010001,0.00010000000000010001,720,6,10,5,6,2,2,0.002000093460083008,0.11995315551757812,0.0748133659362793,0.09936976432800293,-2.7755575615628914e-17,-8.326672684688674e-17,-8.326672684688674e-17
19,5,3,0.0001000000000000445,0.0001000000000000445,0.0001000000000000445,0.0001000000000000445,720,6,10,7,6,2,4,0.003999948501586914,0.15091538429260254,0.06422924995422363,0.180067777633667,0.0,0.0,0.0
20,5,4,0.00020000000000000573,0.00020000000000003348,0.00020000000000000573,0.00020000000000000573,720,10,25,10,10,5,5,0.003000020980834961,0.21262359619140625,0.2814044952392578,0.23910784721374512,-2.7755575615628914e-17,0.0,0.0
21,5,5,0.00010000000000007225,9.999999999985021e-05,9.999999999987796e-05,0.00010000000000007225,720,13,30,12,13,6,8,0.003000020980834961,0.2511775493621826,0.17018604278564453,0.48157739639282227,2.220446049250313e-16,1.942890293094024e-16,0.0
22,5,10,0.054300000000000195,0.054300000000000084,0.05430000000000018,0.05430000000000004,720,19,45,17,19,9,10,0.006999969482421875,0.9244503974914551,0.34157371520996094,0.445232629776001,1.1102230246251565e-16,1.3877787807814457e-17,1.5265566588595902e-16
23,5,15,0.07659999999999972,0.07659999999999993,0.07659999999999997,0.0769999999999997,720,27,65,28,27,13,16,0.004999876022338867,0.8489866256713867,0.5833120346069336,1.0946080684661865,-2.0816681711721685e-16,-2.498001805406602e-16,-0.0003999999999999698
24,5,20,0.08769999999999996,0.08769999999999982,0.08769999999999986,0.0877,720,40,95,45,40,19,24,0.003999948501586914,1.6902475357055664,1.265770673751831,2.102397918701172,1.3877787807814457e-16,9.71445146547012e-17,-4.163336342344337e-17
25,5,25,0.1735000000000001,0.1735000000000002,0.17350000000000013,0.1735000000000002,720,45,100,45,45,20,24,0.006999969482421875,2.5064566135406494,1.590348482131958,2.2354207038879395,-1.1102230246251565e-16,-2.7755575615628914e-17,-1.1102230246251565e-16
26,6,2,0.04619999999999996,0.04619999999999996,0.04619999999999996,0.04619999999999996,5040,7,10,7,7,2,2,0.00599980354309082,0.1596393585205078,0.06795573234558105,0.0953669548034668,0.0,0.0,0.0
27,6,3,0.046400000000000025,0.046400000000000025,0.046400000000000025,0.046400000000000025,5040,8,15,9,8,3,3,0.006999969482421875,0.18220233917236328,0.13116097450256348,0.13342738151550293,0.0,0.0,0.0
28,6,4,0.04620000000000005,0.04620000000000005,0.04620000000000005,0.04620000000000005,5040,10,20,9,10,4,4,0.00800013542175293,0.2392559051513672,0.14159941673278809,0.16910767555236816,0.0,0.0,0.0
29,6,5,0.04570000000000002,0.04570000000000002,0.04570000000000002,0.045700000000000046,5040,13,30,14,13,6,6,0.00800013542175293,0.3225111961364746,0.23377585411071777,0.2721569538116455,0.0,0.0,-2.7755575615628914e-17
